#Pose	CONSRANK_U	CONSRANK	contact_log_sum	contact_square_sum	residue_sum	residue_average	residue_log_sum	residue_square_sum	residue_average_ligand	residue_average_receptor	residue_sum_ligand	residue_sum_receptor
117	4.24	0.0986046511627907	-105.64532515942902	0.5022	12.764999999999999	0.3754411764705882	-37.2934890783371	5.613474999999999	0.4302631578947369	0.306	8.175	4.59
118	0.7350000000000003	0.023709677419354848	-124.20451853578889	0.027175000000000008	7.405000000000001	0.2962	-34.671909186674526	2.949675	0.16416666666666666	0.4180769230769231	1.97	5.4350000000000005
119	0.7700000000000004	0.022647058823529423	-133.84895208794993	0.023600000000000003	7.6549999999999985	0.26396551724137923	-41.13371850652283	2.395375	0.3163333333333333	0.20785714285714288	4.744999999999999	2.91
120	0.6850000000000004	0.020147058823529424	-136.41859996619303	0.016774999999999998	7.224999999999999	0.25803571428571426	-41.513865806646706	2.293625	0.29406249999999995	0.21000000000000005	4.704999999999999	2.5200000000000005
121	0.6050000000000004	0.01512500000000001	-174.65089814789735	0.012224999999999996	9.374999999999998	0.26041666666666663	-53.65302395060516	3.022825000000001	0.34411764705882353	0.18552631578947376	5.85	3.5250000000000012
122	1.26	0.045	-92.11267942011565	0.07400000000000001	8.385	0.3645652173913043	-25.926131766084023	3.7093749999999996	0.2807692307692307	0.47350000000000003	3.649999999999999	4.735
123	0.7900000000000003	0.024687500000000008	-119.55191529656614	0.020950000000000007	6.375000000000001	0.24519230769230774	-39.05755262862963	1.9122750000000002	0.2592307692307692	0.23115384615384618	3.3699999999999997	3.0050000000000003
124	0.7550000000000003	0.022205882352941186	-135.8999941551081	0.024175	6.5299999999999985	0.2418518518518518	-40.87408592855363	1.9516	0.29153846153846147	0.19571428571428573	3.789999999999999	2.74
125	1.9899999999999993	0.052368421052631564	-117.40991198625368	0.1357	10.574999999999998	0.39166666666666655	-27.550898124934964	4.717175	0.3126923076923077	0.465	4.065	6.510000000000001
126	1.7749999999999997	0.04797297297297296	-128.17650112968593	0.133175	10.635	0.3938888888888889	-28.14547612946485	4.827625	0.4420833333333334	0.35533333333333333	5.305000000000001	5.33
127	0.7700000000000004	0.023333333333333345	-131.66392143305728	0.027350000000000006	7.240000000000001	0.2681481481481482	-42.67668760649956	2.8666500000000004	0.1346153846153846	0.3921428571428572	1.75	5.49
128	3.4649999999999994	0.11549999999999998	-68.29490845086949	0.457325	10.240000000000004	0.40960000000000013	-25.778770260234648	4.897099999999999	0.4750000000000001	0.3263636363636364	6.650000000000001	3.5900000000000003
129	0.805	0.02981481481481482	-103.84179095583258	0.039275000000000004	7.540000000000001	0.34272727272727277	-26.80351081096945	3.2957500000000004	0.2381818181818182	0.44727272727272727	2.62	4.92
130	0.7150000000000004	0.021666666666666678	-128.67638592670744	0.017124999999999998	4.615	0.1648214285714286	-52.04225116167825	0.831425	0.12733333333333335	0.20807692307692308	1.9100000000000001	2.705
131	3.2550000000000003	0.08346153846153848	-103.61196569196291	0.34637500000000004	12.344999999999999	0.4408928571428571	-24.042926683188394	5.821674999999999	0.4620000000000001	0.41653846153846164	6.9300000000000015	5.415000000000001
132	1.9050000000000002	0.0680357142857143	-80.24561538196582	0.17372500000000002	10.514999999999999	0.43812499999999993	-20.914833042902398	5.006274999999999	0.4014285714285714	0.48949999999999994	5.62	4.895
133	1.31	0.03852941176470588	-126.43824420619991	0.09595000000000001	9.719999999999999	0.40499999999999997	-23.42045557493098	4.379	0.4539285714285715	0.33649999999999997	6.355000000000001	3.3649999999999998
134	3.5849999999999995	0.11564516129032257	-67.96654919076155	0.445625	10.479999999999999	0.3742857142857142	-29.95790374726523	4.4879999999999995	0.4286666666666667	0.31153846153846154	6.430000000000001	4.05
135	2.515	0.08982142857142858	-70.62105851995396	0.275025	12.159999999999998	0.46769230769230763	-20.60084025533023	5.995449999999998	0.48875	0.4496428571428572	5.865	6.295000000000001
